Session,Assessor,Product,Fineness of texture,Reflection,Transparency,Thickness Flow,Peaking,Stringy,Cushion,Instant whitening,Covering,Pick up,Bounce,Firmness,Spreadability,Watery,Greasiness,Cooling,Shininess instant ,Smoothness instant ,Stickiness instant ,Residue instant ,Shininess 2 min ,Smoothness 2 min ,Stickiness 2 min ,Residue 2 min ,Shininess 5 min ,Smoothness 5 min ,Stickiness 5 min ,Residue 5 min ,Speed of absorption,Overall_Texture,Color_Tone,Overall_Spreadability,Absorption_Speed,Odour_after_applying,Smoothness,Leaves_no_residue_feel,Stickiness,Moisturizing,Brightening_effect,Tightening,Overall_Liking
1,22,Estee_advanced,12.5,9.5,11.5,3,1.5,5,4,3.5,0,6,2.5,2.5,11,8,9.5,7.5,10.5,8,5,8,9,6.5,5,7.5,8,8,6,7,5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,2,Estee_advanced,12.5,11,11,3.5,1,1,7.5,1,1,3.5,3.5,3,10.5,9.5,5.5,8.5,8.5,7,7.5,7.5,7,6,6.5,6.5,6,5.5,5.5,5.5,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,3,Estee_advanced,10,9.5,8.5,5,3,3,6,1.5,1.5,4,4.5,3,9.5,6,9,6.5,9.5,6.5,8.5,9,9,5.5,8.5,8,9,5.5,8.5,8.5,6,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,6,Estee_advanced,10,8.5,12.5,2,1,1,6,0.5,0.5,5,1,1,11,10,6,6,8,7.5,6,7.5,5.5,5.5,5.5,6,4,5,3.5,4,9,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,7,Estee_advanced,14,14,8,6,1,5,5,0,0,4,2,3.5,11,10,8.5,7,9.5,4.5,9.5,9.5,9,5,9,9,9,5,8.5,8.5,4.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,10,Estee_advanced,12,12,12,2,1,6,3,1,0.5,1,1,1,12,5,9,8,10,7.5,7.5,7.5,9,6,6,6,8,5,5.5,5,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,11,Estee_advanced,12,12,10.5,2.5,2,6,2.5,2,2,6,4.5,2,12,3,10.5,6,8,4.5,3,6.5,6.5,4.5,3,6,6.5,8.5,3,7,8.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,12,Estee_advanced,12,9,10,3.5,1,6.5,8,0.5,1,7,6.5,1,12.5,6,8.5,5,8.5,6.5,5.5,7.5,8,6,6.5,7,7.5,6.5,4,6.5,7,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,14,Estee_advanced,12,12,9,4,3,4,6,0,0,7.5,2,2,9,7,5,7,8.5,8,6.5,7,7.5,7,5,6.5,5,6,4.5,6,9,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,15,Estee_advanced,12,12,10.5,4,1,2.5,6,0,0,3,1,1.5,12.5,5,9,4.5,10.5,9,6,12,10,8,5.5,11,9.5,7,5,10.5,3,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
